idx,lat,long
3064,27.9470458,-93.2034206
3063,29.998158,-91.559722
3062,29.4920806,-91.1836246
3061,29.1305856,-89.3316669
3060,29.3891667,-89.5980273
3059,29.87,-92.177194
3058,29.8367,-91.141995
3057,30.0047056,-93.3455829
3056,29.4235417,-90.6045912
3055,29.4920806,-91.183625
3054,29.8390639,-93.3251468
3053,29.7627833,-93.8829857
3052,29.2475,-90.2108051
3051,29.4244917,-90.5697662
3050,30.0287944,-90.1220273
3048,30.29305,-89.9341384
3047,29.9014583,-93.2324329
3046,29.405002,-90.703661
3045,29.9986,-91.5554669
3044,30.100278,-90.918611
3043,30.174722,-93.304166
3042,30.0570664,-90.6155827
3041,29.780308,-90.790478
3040,30.148376,-90.793056000000007
3039,30.23253,-92.05877
3038,30.0632389,-93.5929637
3037,29.1397222,-90.1335776
3036,29.9372222,-91.9013554
3035,29.7761111,-90.7271887
3034,29.4050028,-90.7058498
3033,30.2508333,-90.7746887
3032,29.8003694,-93.3476496
3031,30.0386833,-93.2838468
3030,29.9586667,-91.3056662
3029,29.5531778,-90.6104387
3028,29.3402389,-90.6383996
3027,29.9924083,-90.8361162
3026,28.9949833,-90.8465634
3025,29.5719528,-91.479322
3024,29.014325,-90.456478
3023,29.5746972,-91.4820829
3022,30.2763917,-90.7767579
3021,29.7469444,-90.6099718
3020,30.348262,-91.0907445
3019,30.2881,-93.4321
3016,30.5106433,-90.864041
3015,30.308936,-93.361298
3014,30.276397,-90.943967
3013,30.521,-89.95
3012,29.602094,-90.860436000000007
3011,30.56138,-90.48256
3010,30.3369556,-90.2804581
3009,30.0683722,-93.3478776
3006,29.3877806,-90.2644943
3004,29.89246,-90.9788
3003,29.90246,-90.9804
3002,30.1685,-90.8784
3001,30.20127,-93.3637
3000,29.38742,-90.6174
2999,29.4244,-90.5673
2998,30.46268,-90.0732
2997,28.79129,-91.0336
2991,29.5495389,-90.6356804
2990,29.4033583,-90.6997637
2989,30.35,-90.275522
2988,30.0952444,-83.3398165
2987,30.0213611,-93.7413998
2986,29.8501694,-89.6841998
2985,29.5425806,-90.3894415
2983,29.4769306,-90.1227804
2982,29.8677917,-89.8338804
2981,29.5386306,-90.860722
2980,29.9595622,-90.7438081
2979,30.3441667,-90.2774665
2978,29.9793556,-90.3301776
2977,29.6212889,-90.6912026
2976,29.3847556,-89.8102026
2974,30.29819,-93.22177
2973,29.88019,-90.50857
2972,29.976,-90.401
2971,29.7375389,-90.7355387
2970,30.2689361,-90.8062943
2969,30.07925,-90.9092998
2964,30.062509,-93.59108
2963,29.3874167,-90.6196026
2962,29.2808056,-91.1416609
2961,30.2936111,-89.9326387
2960,29.6922222,-91.378022
2959,30.4910646,-90.8993515
2958,30.04763,-90.55868
2957,30.200818,-91.015104
2953,30.095833,-90.471111
2952,29.2380519,-90.4520248
2951,29.714514,-91.079925
2950,29.909997,-91.216658
2949,29.562694,-89.474372
2948,29.209167,-89.044858
2947,29.740278,-90.945833
2946,29.654286,-92.4037
2945,29.692222,-91.375833
2944,29.805156,-93.433386
2943,29.952228,-90.326581
2942,29.499244,-90.525808
2941,30.081972,-93.257194
2940,29.218333,-90.019639
2939,29.619611,-90.978106
2938,29.784722,-92.152222
2937,29.442828,-89.530975
2936,30.0265999,-91.1220665
2935,29.58278,-89.81306
2934,32.53556,-92.0625
2933,30.315055,-90.939082
2932,30.21443,-90.95668
2931,30.30603,-89.78269
2930,28.6247978,-90.1475145
2929,30.00044,-90.836131
2928,29.832944,-91.990569
2927,30.364795,-91.137355
2926,29.983239,-91.197883
